date,species,individual,type unit,numero unit,heure UTC ON,heure UTC calibr start,Type Calibr start,heure UTC calibr end,Type Calibr end,heure UTC OFF,Frequence (Hz),Rem
28/06/2018,VF,HENRI,GIPSY1,6,09:02:20,09:29:35,5 heave + 5 surge + sway,15:15:30,5 heave + 5 surge + sway,15:18:30,4,
28/06/2018,VF,GREGOIRE,GIPSY1,3,09:02:20,09:29:35,5 heave + 5 surge + sway,15:15:30,5 heave + 5 surge + sway,15:18:30,4,
28/06/2018,RAV,MANU,AXY1,4,09:08:25,09:29:35,5 heave + 5 surge + sway,15:15:30,5 heave + 5 surge + sway,15:23:06,25,
28/06/2018,VR,KIRIKOU,AXY1,2,09:08:10,09:29:35,5 heave + 5 surge + sway,15:15:30,5 heave + 5 surge + sway,15:23:40,25,
28/06/2018,CONDOR,KUZCO,AGM,5,09:09:10,09:29:35,5 heave + 5 surge + sway,15:15:30,5 heave + 5 surge + sway,15:24:30,25,
28/06/2018,VH,GISELE,AGM,7,09:09:50,09:29:35,5 heave + 5 surge + sway,15:15:30,5 heave + 5 surge + sway,15:24:10,25,
28/06/2018,VF,HENRI,AGM,6,09:09:40,09:29:35,5 heave + 5 surge + sway,15:15:30,5 heave + 5 surge + sway,15:24:45,25,
28/06/2018,VF,GREGOIRE,AXY1,3,09:08:35,09:29:35,5 heave + 5 surge + sway,15:15:30,5 heave + 5 surge + sway,15:22:37,25,
28/06/2018,VH,GAELLE,AT,G,09:29:00,09:29:35,5 heave + 5 surge + sway,15:15:30,5 heave + 5 surge + sway,15:21:00,25,
28/06/2018,VF,LEON,ORNI,90,09:02:34,09:29:35,5 heave + 5 surge + sway,15:15:30,5 heave + 5 surge + sway,15:20:00,2,
28/06/2018,VF,HERCULE,ORNI,87,09:02:34,09:29:35,5 heave + 5 surge + sway,15:15:30,5 heave + 5 surge + sway,,2,
28/06/2018,RAV,KHAN,AT,J,09:07:00,09:29:35,5 heave + 5 surge + sway,15:15:30,5 heave + 5 surge + sway,15:21:00,25,
28/06/2018,Black Kite,KLEA,AT,Z,09:10:29,09:29:35,5 heave + 5 surge + sway,,,,50,Recorded at 50 Hz!! only until 12:25
29/06/2018,VF,HENRI,GIPSY1,3,09:11:15,09:32:49,5 heave + 5 surge + sway,17:07:30,5 heave + 5 surge + sway,17:10:30,4,
29/06/2018,VH,GISELE,GIPSY1,4,09:11:15,09:32:49,5 heave + 5 surge + sway,17:07:30,5 heave + 5 surge + sway,17:10:30,4,
29/06/2018,VF,GREGOIRE,GIPSY1,5,09:11:15,09:32:49,5 heave + 5 surge + sway,17:07:30,5 heave + 5 surge + sway,17:10:30,4,
29/06/2018,VR,KIRIKOU,GIPSY1,6,09:11:15,09:32:49,5 heave + 5 surge + sway,17:07:30,5 heave + 5 surge + sway,17:10:30,4,
29/06/2018,VH,GAELLE,GIPSY1,13,09:11:15,09:32:49,5 heave + 5 surge + sway,17:07:30,5 heave + 5 surge + sway,17:10:30,4,
29/06/2018,VF,LEON,GIPSY1,14,09:11:15,09:32:49,5 heave + 5 surge + sway,17:07:30,5 heave + 5 surge + sway,17:10:30,4,
29/06/2018,CONDOR,KUZCO,GIPSY5,B,09:13:23,10:13:35,5 heave + 5 surge + sway,17:07:30,5 heave + 5 surge + sway,17:12:00,5,
29/06/2018,CONDOR,KUZCO,AXY1,1,09:11:30,10:13:35,5 heave + 5 surge + sway,,5 heave + 5 surge + sway,,25,Calibrated at 10:00 with AT H - too high values start calibration not found - recorded until 16:14
29/06/2018,VF,LEON,AXY1,2,09:14:20,09:32:49,5 heave + 5 surge + sway,17:07:30,5 heave + 5 surge + sway,17:14:50,25,
29/06/2018,VF,HENRI,AXY1,3,09:14:40,09:32:49,5 heave + 5 surge + sway,17:07:30,5 heave + 5 surge + sway,17:15:10,25,
29/06/2018,VH,GISELE,AXY1,4,09:14:50,09:32:49,5 heave + 5 surge + sway,17:07:30,5 heave + 5 surge + sway,17:16:30,25,
29/06/2018,VF,GREGOIRE,AGM,5,09:15:30,09:32:49,5 heave + 5 surge + sway,17:07:30,5 heave + 5 surge + sway,17:18:22,25,
29/06/2018,VR,KIRIKOU,AGM,6,09:15:40,09:32:49,5 heave + 5 surge + sway,17:07:30,5 heave + 5 surge + sway,17:18:02,25,
29/06/2018,VH,GAELLE,AGM,7,09:15:50,09:32:49,5 heave + 5 surge + sway,17:07:30,5 heave + 5 surge + sway,17:17:35,25,
29/06/2018,RAV,KAN,AT,H,09:13:27,10:13:35,5 heave + 5 surge + sway,17:07:30,5 heave + 5 surge + sway,17:10:00,25,Calibrated at 10:00 with Axy1 1
29/06/2018,Black Kite,KLEA,AT,Z,09:13:27,09:32:49,5 heave + 5 surge + sway,,,,25,LOST
29/06/2018,PYGTB,DAKOTA,AT,I,09:13:27,09:32:49,5 heave + 5 surge + sway,17:07:30,5 heave + 5 surge + sway,17:10:00,25,
29/06/2018,PYGTB,LAFAYETTE,AT,J,09:13:27,09:32:49,5 heave + 5 surge + sway,17:07:30,5 heave + 5 surge + sway,17:10:00,25,
29/06/2018,VF,HERCULE,ORNI,171010,09:12:00,,5 heave + 5 surge + sway,,5 heave + 5 surge + sway,15:28:00,2,no calibration
29/06/2018,RAV,MANU,ORNI,180051,09:12:00,,5 heave + 5 surge + sway,,5 heave + 5 surge + sway,15:28:00,2,no calibration
30/06/2018,VH,GAELLE,GIPSY1,3,08:13:40,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:31:00,4,
30/06/2018,VF,LEON,GIPSY1,4,08:13:40,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:31:00,4,
30/06/2018,VR,KIRIKOU,GIPSY1,5,09:13:40,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:31:00,4,
30/06/2018,VH,GISELE,GIPSY1,6,10:13:40,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:31:00,4,
30/06/2018,VF,GREGOIRE,GIPSY1,13,11:13:40,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:31:00,4,
30/06/2018,CONDOR,KUZCO,GIPSY1,14,12:13:40,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:31:00,4,
30/06/2018,RAV,MANU,GIPSY5,B,08:17:00,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:32:40,5,
30/06/2018,RAV,MANU,AXY1,1,08:17:40,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:37:15,25,
30/06/2018,CONDOR,KUZCO,AXY1,2,08:18:00,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:37:38,25,
30/06/2018,VH,GAELLE,AXY1,3,08:18:30,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:37:55,25,
30/06/2018,VF,LEON,AXY1,4,08:19:00,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:38:20,25,
30/06/2018,VR,KIRIKOU,AGM,5,08:19:20,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:36:39,25,
30/06/2018,VH,GISELE,AGM,6,08:19:40,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:36:13,25,
30/06/2018,VF,GREGOIRE,AGM,7,08:20:00,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:35:57,25,
