matchID,date,group,age,species,individual,GPS_id,ACC_id,harness_type,flight,heure.UTC.release.first,TAKE.OFF.Heure.UTC.GPS,LANDING.Heure.UTC.GPS,heure.UTC.GROUND,heure.UTC.perch,Notes
25/06/2018_HENRI_6,25/06/2018,1,OLD,VF,HENRI,6,6,BackPack,2,12:48:36,12:48:35.25,13:13:02.25,13:13:02,13:13:56,
25/06/2018_HENRI_6,25/06/2018,1,OLD,VF,HENRI,6,6,BackPack,3,14:22:14,14:22:13.25,14:39:39.00,14:39:39,?,
25/06/2018_HERCULE_10,25/06/2018,2,young,VF,HERCULE,10,8,LegLoop,1,11:24:00,11:22:55.25,? 11:28:24.50,NA,NA,AGM did not start. No ACC data.
25/06/2018_HERCULE_10,25/06/2018,2,young,VF,HERCULE,10,8,LegLoop,2,12:52:00,12:52:16.50,12:57:45.50,12:58:00,12:58:30,AGM did not start. No ACC data.
25/06/2018_HERCULE_10,25/06/2018,2,young,VF,HERCULE,10,8,LegLoop,3,14:24:24,14:25:11.00,"? 14:37:15.25, 15:10:41 or 15:19:04.00",NA,?,AGM did not start. No ACC data.
25/06/2018_KHAN_H,25/06/2018,2,young,RAV,KHAN,H,H,tail,2,12:49:32,306327,357902,13:23:50,13:23:50,
25/06/2018_KIRIKOU_I,25/06/2018,2,young,RUPPEL,KIRIKOU,I,I,tail,1,11:24:20,168702,208852,11:51:00,11:51:44,
25/06/2018_KIRIKOU_I,25/06/2018,2,young,RUPPEL,KIRIKOU,I,I,tail,2,12:52:15,300627,349752,13:24:57,13:26:00,
25/06/2018_KIRIKOU_I,25/06/2018,2,young,RUPPEL,KIRIKOU,I,I,tail,3,14:25:29,440452,459952,14:38:30,?,
25/06/2018_KUZCO_J,25/06/2018,2,young,CONDOR,KUZCO,J,J,tail,1,11:24:50,179377,190427,11:32:12,?,
25/06/2018_KUZCO_J,25/06/2018,2,young,CONDOR,KUZCO,J,J,tail,2,12:52:00,310052,320552,NA,12:59:00,
25/06/2018_KUZCO_J,25/06/2018,2,young,CONDOR,KUZCO,J,J,tail,3,14:21:55,445102,474952,14:41:53,?,
25/06/2018_LAFAYETTE_A,25/06/2018,NA,NA,PYGTB,LAFAYETTE,A,1,LegLoop,1,11:34:40,11:34:40.60,11:51:37.20,11:51:50,11:51:50.00,"box opened before fllights, axy01 fallen and stopped : no recording of ACC, but GPS OK"
